,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
539,Clatsop County,Oregon,495762,226412,230916,38434
540,Clay County,Alabama,170390,69700,71764,28926
541,Clay County,Arkansas,171902,81628,84050,6224
542,Clay County,Florida,2712326,1061896,1072238,578192
543,Clay County,Georgia,34178,6110,6872,21196
544,Clay County,Illinois,157094,75794,76436,4864
545,Clay County,Indiana,317016,152976,153892,10148
546,Clay County,Iowa,197372,93976,95892,7504
547,Clay County,Kansas,96710,45978,45602,5130
548,Clay County,Kentucky,239882,115872,110794,13216
549,Clay County,Minnesota,791248,346696,352804,91748
550,Clay County,Mississippi,221094,41688,42954,136452
551,Clay County,Missouri,3087874,1296396,1329568,461910
552,Clay County,Nebraska,73164,35738,34328,3098
553,Clay County,North Carolina,138274,64568,67120,6586
554,Clay County,South Dakota,182128,79966,81822,20340
555,Clay County,Tennessee,91868,43302,44926,3640
556,Clay County,Texas,125380,59246,57884,8250
557,Clay County,West Virginia,94460,46766,45452,2242
558,Clayton County,Georgia,3588026,344444,332954,2910628
559,Clayton County,Iowa,204228,100966,97746,5516
560,Clear Creek County,Colorado,111336,54608,49294,7434
561,Clearfield County,Pennsylvania,947462,465960,438078,43424
562,Clearwater County,Idaho,107572,55304,44666,7602
563,Clearwater County,Minnesota,103190,44962,43332,14896
564,Cleburne County,Alabama,184370,86478,87844,10048
565,Cleburne County,Arkansas,301700,144000,145702,11998
566,Clermont County,Ohio,2529000,1180584,1206092,142324
567,Cleveland County,Arkansas,89636,38156,38718,12762
568,Cleveland County,North Carolina,1208966,445684,464674,298608
569,Cleveland County,Oklahoma,3591538,1383140,1396342,812056
570,Clinch County,Georgia,81082,27250,28306,25526
571,Clinton County,Illinois,443348,212198,204638,26512
572,Clinton County,Indiana,395810,191174,191804,12832
573,Clinton County,Iowa,555600,256122,261174,38304
574,Clinton County,Kentucky,110518,52136,54078,4304
575,Clinton County,Michigan,954512,440924,448732,64856
576,Clinton County,Missouri,256502,123296,120540,12666
577,Clinton County,New York,944616,439828,434862,69926
578,Clinton County,Ohio,504174,234224,240286,29664
579,Clinton County,Pennsylvania,452878,215294,220180,17404
580,Cloud County,Kansas,107070,50918,50100,6052
581,Coahoma County,Mississippi,248182,26982,25482,195718
582,Coal County,Oklahoma,63730,21046,21666,21018
583,Cobb County,Georgia,9284248,2847550,2863680,3573018
584,Cochise County,Arizona,1506542,668510,648412,189620
585,Cochran County,Texas,30604,13908,13206,3490
586,Cocke County,Tennessee,440122,203188,213294,23640
587,Coconino County,Arizona,1735272,571674,568970,594628
588,Codington County,South Dakota,344312,162114,159206,22992
589,Coffee County,Alabama,656140,248166,248944,159030
590,Coffee County,Georgia,519650,178544,174870,166236
591,Coffee County,Tennessee,712880,319234,331212,62434
592,Coffey County,Kansas,99800,47152,47548,5100
593,Coke County,Texas,40140,18522,19190,2428
594,Colbert County,Alabama,694684,270770,286724,137190
595,Cole County,Missouri,924866,385950,387664,151252
596,Coleman County,Texas,93690,42944,42744,8002
597,Coles County,Illinois,562150,252554,264926,44670
598,Colfax County,Nebraska,127564,57898,51832,17834
599,Colfax County,New Mexico,147984,69224,66382,12378
600,Colleton County,South Carolina,465034,138834,141928,184272
601,Collier County,Florida,4734432,2077682,2132034,524716
602,Collin County,Texas,13766030,4532368,4531556,4702106
603,Collingsworth County,Texas,31322,13468,13656,4198
604,Colonial Heights city,Virginia,219808,75044,84498,60266
605,Colorado County,Texas,251338,104164,104532,42642
606,Colquitt County,Georgia,554036,198076,198648,157312
607,Columbia County,Arkansas,269084,81920,82064,105100
608,Columbia County,Florida,857290,337134,331892,188264
609,Columbia County,Georgia,1936366,676364,691146,568856
610,Columbia County,New York,734138,331280,328732,74126
611,Columbia County,Oregon,640110,296954,291344,51812
612,Columbia County,Pennsylvania,783062,360368,382882,39812
613,Columbia County,Washington,48048,21652,21616,4780
614,Columbia County,Wisconsin,699670,336092,326910,36668
615,Columbiana County,Ohio,1210808,576306,573642,60860
616,Columbus County,North Carolina,602650,188174,192252,222224
617,Colusa County,California,263510,122254,116734,24522
618,Comal County,Texas,2161196,987288,995610,178298
619,Comanche County,Kansas,20202,9524,9802,876
620,Comanche County,Oklahoma,1460486,497784,454990,507712
621,Comanche County,Texas,166680,79518,78508,8654
622,Concho County,Texas,39884,20578,12824,6482
623,Concordia Parish,Louisiana,219098,64634,63064,91400
624,Conecuh County,Alabama,135936,35250,35002,65684
625,Conejos County,Colorado,90218,40920,40384,8914
626,Contra Costa County,California,13982086,4408172,4431940,5141974
627,Converse County,Wyoming,165130,79948,77144,8038
628,Conway County,Arkansas,251966,104650,107796,39520
629,Cook County,Georgia,209778,70262,72174,67342
630,Cook County,Illinois,62378840,20336264,20344662,21697914
631,Cook County,Minnesota,67558,29320,28714,9524
632,Cooke County,Texas,513802,234948,236416,42438
633,Cooper County,Missouri,202442,90732,91742,19968
634,Coos County,New Hampshire,375214,186034,175112,14068
635,Coos County,Oregon,778126,348460,351966,77700
636,Coosa County,Alabama,123762,42786,40780,40196
637,Copiah County,Mississippi,335284,77494,78942,178848
639,Corson County,South Dakota,45852,7300,6778,31774
640,Cortland County,New York,556074,256748,265372,33954
641,Coryell County,Texas,1013656,374262,364868,274526
642,Coshocton County,Ohio,440672,211890,212268,16514
643,Costilla County,Colorado,43060,19090,17550,6420
644,Cottle County,Texas,15938,6716,6926,2296
645,Cotton County,Oklahoma,65904,26116,26608,13180
646,Cottonwood County,Minnesota,137616,62378,61440,13798
647,Covington County,Alabama,451424,185354,194610,71460
648,Covington County,Mississippi,218162,67266,66748,84148
649,Covington city,Virginia,68296,26828,29286,12182
650,Coweta County,Georgia,1820862,673658,692408,454796
651,Cowley County,Kansas,413216,182188,182562,48466
652,Cowlitz County,Washington,1345076,605512,608662,130902
653,Craig County,Oklahoma,171230,54796,54862,61572
654,Craig County,Virginia,58364,28508,28290,1566
655,Craighead County,Arkansas,1354970,518704,538184,298082
656,Crane County,Texas,55450,25272,25132,5046
657,Craven County,North Carolina,1227582,447306,435670,344606
658,Crawford County,Arkansas,731658,326262,332206,73190
659,Crawford County,Georgia,146498,55770,54672,36056
660,Crawford County,Illinois,222430,104108,102006,16316
661,Crawford County,Indiana,126044,62072,59828,4144
662,Crawford County,Iowa,195822,89588,87154,19080
663,Crawford County,Kansas,468018,212658,213292,42068
664,Crawford County,Michigan,159662,78496,74476,6690
665,Crawford County,Missouri,274074,132430,131992,9652
666,Crawford County,Ohio,501148,236404,245858,18886
667,Crawford County,Pennsylvania,995064,471418,480448,43198
668,Crawford County,Wisconsin,192648,94836,89206,8606
669,Creek County,Oklahoma,871822,337826,344386,189610
670,Crenshaw County,Alabama,157624,55626,57456,44542
671,Crisp County,Georgia,238164,59846,62414,115904
672,Crittenden County,Arkansas,568994,116828,119880,332286
673,Crittenden County,Kentucky,107768,52460,51222,4086
674,Crockett County,Tennessee,167254,66100,70312,30842
675,Crockett County,Texas,35598,16244,16224,3130
676,Crook County,Oregon,312250,147864,146466,17920
677,Crook County,Wyoming,88904,43302,42264,3338
678,Crosby County,Texas,60666,27548,27556,5562
679,Cross County,Arkansas,199094,72218,74580,52296
680,Crow Wing County,Minnesota,809106,387550,386134,35422
681,Crowley County,Colorado,68304,39388,16232,12684
682,Culberson County,Texas,26328,11988,11624,2716
683,Cullman County,Alabama,1081382,514564,520778,46040
684,Culpeper County,Virginia,649062,255654,260734,132674
685,Cumberland County,Illinois,124250,60738,59728,3784
686,Cumberland County,Kentucky,71248,32930,34196,4122
687,Cumberland County,Maine,3694428,1639538,1727534,327356
688,Cumberland County,New Jersey,1841356,652540,656952,531864
689,Cumberland County,North Carolina,4054914,1044818,967118,2042978
690,Cumberland County,Pennsylvania,3202162,1353428,1394898,453836
691,Cumberland County,Tennessee,757822,358428,372896,26498
692,Cumberland County,Virginia,117558,38134,39710,39714
693,Cuming County,Nebraska,107778,52588,51516,3674
694,Currituck County,North Carolina,362214,162872,160858,38484
695,Curry County,New Mexico,573246,249974,236334,86938
696,Curry County,Oregon,280702,126290,129828,24584
697,Custer County,Colorado,61890,29432,29156,3302
698,Custer County,Idaho,53240,26584,24240,2416
699,Custer County,Montana,143344,67218,66556,9570
700,Custer County,Nebraska,126258,61802,60304,4152
701,Custer County,Oklahoma,339624,139118,140300,60206
702,Custer County,South Dakota,105572,48850,48718,8004
703,Cuyahoga County,Ohio,14988276,4632054,4811738,5544484
704,Dade County,Georgia,194142,91164,92756,10222
705,Dade County,Missouri,91552,44158,42572,4822
706,Daggett County,Utah,11640,6264,4802,574
707,Dakota County,Minnesota,5337466,2159396,2197556,980514
708,Dakota County,Nebraska,256714,104680,102002,50032
709,Dale County,Alabama,594630,217032,216010,161588
710,Dallam County,Texas,87252,41534,37650,8068
711,Dallas County,Alabama,445524,58592,62510,324422
712,Dallas County,Arkansas,75372,20724,20906,33742
713,Dallas County,Iowa,1279146,562510,574848,141788
714,Dallas County,Missouri,209650,100188,100364,9098
715,Dallas County,Texas,31435784,10413692,10168260,10853832
716,Dane County,Wisconsin,6849708,2874056,2871794,1103858
717,Daniels County,Montana,19750,9758,8714,1278
718,Danville city,Virginia,507312,105186,116390,285736
719,Dare County,North Carolina,452570,207996,214674,29900
720,Darke County,Ohio,619694,299650,300688,19356
721,Darlington County,South Carolina,751378,202220,214118,335040
722,Dauphin County,Pennsylvania,3468718,1185480,1233556,1049682
723,Davidson County,North Carolina,2067388,862782,882382,322224
724,Davidson County,Tennessee,8585644,2804496,2883466,2897682
725,Davie County,North Carolina,526636,231362,239330,55944
726,Daviess County,Indiana,403356,192026,189718,21612
727,Daviess County,Kentucky,1243114,543904,571666,127544
728,Daviess County,Missouri,101642,49328,49222,3092
729,Davis County,Iowa,109796,54400,52936,2460
730,Davis County,Utah,4434604,2055930,1997048,381626
731,Davison County,South Dakota,239420,110590,109852,18978
732,Dawes County,Nebraska,97798,42522,45254,10022
733,Dawson County,Georgia,356012,167380,168110,20522
734,Dawson County,Montana,106150,51848,48148,6154
735,Dawson County,Nebraska,290234,129086,122094,39054
736,Dawson County,Texas,146256,71210,57900,17146
737,Day County,South Dakota,65258,29064,27536,8658
738,De Baca County,New Mexico,20176,9378,9078,1720
739,De Soto Parish,Louisiana,323890,99032,101224,123634
740,De Witt County,Illinois,184772,88832,89420,6520
741,DeKalb County,Alabama,865948,398522,400430,66996
742,DeKalb County,Georgia,9182578,1667678,1697692,5817208
743,DeKalb County,Illinois,1208062,517606,511384,179072
744,DeKalb County,Indiana,524612,253628,254922,16062
745,DeKalb County,Missouri,130824,63320,54508,12996
746,DeKalb County,Tennessee,249746,118064,116998,14684
747,DeSoto County,Florida,421812,194232,158074,69506
748,DeSoto County,Mississippi,2283630,707062,723030,853538
749,DeWitt County,Texas,239820,109082,100666,30072
750,Deaf Smith County,Texas,221764,104244,103834,13686
751,Dearborn County,Indiana,612294,297596,296420,18278
752,Decatur County,Georgia,350686,93666,95440,161580
753,Decatur County,Indiana,317170,152110,153250,11810
754,Decatur County,Iowa,93112,44032,43866,5214
755,Decatur County,Kansas,32768,15930,15342,1496
756,Decatur County,Tennessee,138664,64816,65750,8098
757,Deer Lodge County,Montana,114814,56434,50498,7882
758,Defiance County,Ohio,459988,218438,217938,23612
759,Del Norte County,California,326554,134268,118906,73380
760,Delaware County,Indiana,1346610,572830,612376,161404
761,Delaware County,Iowa,210534,104430,101020,5084
762,Delaware County,New York,533488,254822,248250,30416
763,Delaware County,Ohio,2696590,1126186,1134430,435974
764,Delaware County,Oklahoma,493582,158966,164826,169790
765,Delaware County,Pennsylvania,6946158,2278958,2371640,2295560
766,Delta County,Colorado,378376,178542,178638,21196
767,Delta County,Michigan,441934,206276,205712,29946
768,Delta County,Texas,64830,27202,28640,8988
770,Dent County,Missouri,174224,83188,82866,8170
771,Denton County,Texas,11608584,4217914,4236916,3153754
772,Denver County,Colorado,8619800,3504908,3402832,1712060
773,Des Moines County,Iowa,462740,201206,209034,52500
774,Deschutes County,Oregon,2459848,1145720,1155082,159046
775,Desha County,Arkansas,130646,30382,32604,67660
776,Deuel County,Nebraska,22384,10952,10552,880
777,Deuel County,South Dakota,51878,26050,24074,1754
778,Dewey County,Oklahoma,52556,22218,22670,7668
779,Dewey County,South Dakota,62536,6758,6504,49274
780,Dickens County,Texas,20874,8972,9616,2286
781,Dickenson County,Virginia,165586,83256,79172,3158
782,Dickey County,North Dakota,59324,28690,27636,2998
783,Dickinson County,Iowa,215308,103754,103976,7578
784,Dickinson County,Kansas,221240,104414,103936,12890
785,Dickinson County,Michigan,311454,151132,147160,13162
786,Dickson County,Tennessee,668466,303600,312882,51984
788,Dillon County,South Carolina,335220,74914,82112,178194
789,Dimmit County,Texas,101030,47380,48048,5602
790,Dinwiddie County,Virginia,337780,111074,110204,116502
791,District of Columbia,District of Columbia,8192034,1895636,1891714,4404684
792,Divide County,North Dakota,26056,12552,11444,2060
793,Dixie County,Florida,204088,94826,83152,26110
794,Dixon County,Nebraska,66650,32496,30846,3308
795,Doddridge County,West Virginia,92728,49194,38594,4940
796,Dodge County,Georgia,238050,81854,76260,79936
797,Dodge County,Minnesota,252176,122778,118670,10728
798,Dodge County,Nebraska,447856,208980,210332,28544
799,Dodge County,Wisconsin,1066196,520800,485874,59522
800,Dolores County,Colorado,28968,14408,12314,2246
801,Doniphan County,Kansas,90038,41724,41204,7110
802,Donley County,Texas,39094,17284,17864,3946
803,Dooly County,Georgia,132266,35750,27936,68580
804,Door County,Wisconsin,364576,175074,176144,13358
805,Dorchester County,Maryland,392590,124866,134588,133136
806,Dorchester County,South Carolina,1994672,670100,682152,642420
807,Dougherty County,Georgia,1002506,120608,131118,750780
808,Douglas County,Colorado,4487482,1989134,1966574,531774
809,Douglas County,Georgia,1767556,363614,375760,1028182
810,Douglas County,Illinois,237008,113184,114814,9010
811,Douglas County,Kansas,1440576,591198,603794,245584
812,Douglas County,Minnesota,473750,230690,227708,15352
813,Douglas County,Missouri,142792,68432,66998,7362
814,Douglas County,Nebraska,7076416,2793262,2815244,1467910
815,Douglas County,Nevada,595196,275848,267652,51696
816,Douglas County,Oregon,1343122,615626,621068,106428
817,Douglas County,South Dakota,33940,15924,16170,1846
818,Douglas County,Washington,529528,250524,235288,43716
819,Douglas County,Wisconsin,530860,247450,243482,39928
820,Doña Ana County,New Mexico,2681790,1202832,1241428,237530
821,Drew County,Arkansas,205150,70968,71036,63146
822,DuPage County,Illinois,11166298,4349098,4398392,2418808
823,Dubois County,Indiana,523400,255530,250534,17336
824,Dubuque County,Iowa,1188852,540212,551888,96752
825,Duchesne County,Utah,241072,111242,107902,21928
826,Dukes County,Massachusetts,250510,110202,113062,27246
827,Dundy County,Nebraska,19362,9126,9180,1056
828,Dunklin County,Missouri,331500,136332,146124,49044
829,Dunn County,North Dakota,48588,21836,18972,7780
830,Dunn County,Wisconsin,546144,258742,253000,34402
831,Duplin County,North Carolina,590764,206512,205114,179138
832,Durham County,North Carolina,3973256,1069656,1115270,1788330
833,Dutchess County,New York,3576250,1425778,1448054,702418
834,Duval County,Florida,12222654,3636332,3705798,4880524
835,Duval County,Texas,117072,57614,53048,6410
836,Dyer County,Tennessee,438680,174222,182506,81952
837,Eagle County,Colorado,662794,329362,292572,40860
838,Early County,Georgia,127732,27846,29330,70556
839,East Baton Rouge Parish,Louisiana,5442964,1282198,1321314,2839452
840,East Carroll Parish,Louisiana,85628,13968,10776,60884
841,East Feliciana Parish,Louisiana,231754,69408,60008,102338
842,Eastland County,Texas,215606,100742,100800,14064
843,Eaton County,Michigan,1309666,558824,573892,176950
844,Eau Claire County,Wisconsin,1282550,578072,592196,112282
845,Echols County,Georgia,44506,19270,18502,6734
846,Ector County,Texas,1976908,905588,859150,212170
847,Eddy County,New Mexico,735686,344962,333746,56978
848,Eddy County,North Dakota,27752,13002,12568,2182
849,Edgar County,Illinois,199102,95340,98544,5218
850,Edgecombe County,North Carolina,585146,112240,119206,353700
851,Edgefield County,South Carolina,326046,110692,95434,119920
852,Edmonson County,Kentucky,147814,70924,71364,5526
853,Edmunds County,South Dakota,48468,23900,23026,1542
854,Edwards County,Illinois,73236,34700,36080,2456
855,Edwards County,Kansas,33594,15834,15134,2626
856,Edwards County,Texas,16940,8140,7382,1418
857,Effingham County,Georgia,821012,328450,329540,163022
858,Effingham County,Illinois,414582,202798,200464,11320
859,El Dorado County,California,2308986,1015836,1006382,286768
860,El Paso County,Colorado,8893556,3733726,3611402,1548428
861,El Paso County,Texas,10439208,4695106,4823076,921026
862,Elbert County,Colorado,330832,158398,151706,20728
863,Elbert County,Georgia,237758,77982,83252,76524
864,Elk County,Kansas,29482,13824,13506,2152
865,Elk County,Pennsylvania,367048,182420,176552,8076
866,Elkhart County,Indiana,2485440,1101912,1117298,266230
867,Elko County,Nevada,647872,296944,271446,79482
868,Elliott County,Kentucky,87774,46238,36138,5398
869,Ellis County,Kansas,347074,165268,160456,21350
870,Ellis County,Oklahoma,44340,20532,20446,3362
871,Ellis County,Texas,2516504,1006514,1010576,499414
872,Ellsworth County,Kansas,76366,38092,31294,6980
873,Elmore County,Alabama,1071218,388308,414636,268274
874,Elmore County,Idaho,350554,160968,145252,44334
875,Emanuel County,Georgia,275808,85702,86058,104048
876,Emery County,Utah,120110,59182,55884,5044
877,Emmet County,Iowa,111398,53224,51608,6566
878,Emmet County,Michigan,409436,188188,190166,31082
879,Emmons County,North Dakota,39146,19514,18064,1568
880,Emporia city,Virginia,66956,9680,10374,46902
881,Erath County,Texas,523026,238840,249156,35030
882,Erie County,New York,11414634,4380310,4550576,2483748
883,Erie County,Ohio,897040,378648,393434,124958
884,Erie County,Pennsylvania,3232616,1385422,1417074,430120
885,Escambia County,Alabama,439830,134930,138854,166046
886,Escambia County,Florida,3903040,1348234,1336784,1218022
887,Esmeralda County,Nevada,8788,4018,3174,1596
888,Essex County,Massachusetts,9750420,3961392,4215310,1573718
889,Essex County,New Jersey,10355560,2519156,2513830,5322574
890,Essex County,New York,444482,213462,209224,21796
891,Essex County,Vermont,71656,35024,33672,2960
892,Essex County,Virginia,127426,35184,37492,54750
893,Estill County,Kentucky,168676,81740,83086,3850
894,Etowah County,Alabama,1237882,488010,509880,239992
895,Eureka County,Nevada,22504,10994,9230,2280
896,Evangeline Parish,Louisiana,385282,135476,131010,118796
897,Evans County,Georgia,129118,40310,42502,46306
899,Fairfax County,Virginia,13778952,4438192,4324998,5015762
900,Fairfax city,Virginia,298556,101506,102702,94348
901,Fairfield County,Ohio,1952374,817908,824868,309598
902,Fairfield County,South Carolina,247378,50760,51056,145562
903,Fall River County,South Dakota,86524,38312,37276,10936
904,Fallon County,Montana,36162,17696,16998,1468
905,Falls Church city,Virginia,176412,69366,70376,36670
906,Falls County,Texas,206848,72320,76502,58026
907,Fannin County,Georgia,308058,145682,150380,11996
908,Fannin County,Texas,444936,206508,187282,51146
909,Faribault County,Minnesota,166974,81386,79040,6548
910,Faulk County,South Dakota,25512,12764,12110,638
911,Faulkner County,Arkansas,1524146,618884,643734,261528
912,Fauquier County,Virginia,891698,385208,386214,120276
913,Fayette County,Alabama,193174,81194,84516,27464
914,Fayette County,Georgia,1460828,463638,478366,518824
915,Fayette County,Illinois,256126,121708,111472,22946
916,Fayette County,Indiana,280130,133646,136566,9918
917,Fayette County,Iowa,231894,111314,109820,10760
918,Fayette County,Kentucky,3882382,1453952,1491244,937186
919,Fayette County,Ohio,346660,159092,165178,22390
920,Fayette County,Pennsylvania,1517612,692540,706604,118468
921,Fayette County,Tennessee,516096,179520,179634,156942
922,Fayette County,Texas,299362,133162,136412,29788
923,Fayette County,West Virginia,476186,224460,220050,31676
924,Fentress County,Tennessee,230066,109984,113338,6744
925,Fergus County,Montana,139756,67964,64896,6896
926,Ferry County,Washington,88232,34270,33018,20944
927,Fillmore County,Minnesota,256616,126314,123184,7118
928,Fillmore County,Nebraska,66514,32526,31892,2096
929,Finney County,Kansas,457776,203382,198984,55410
930,Fisher County,Texas,43892,20240,19606,4046
931,Flagler County,Florida,1496026,608650,644894,242482
932,Flathead County,Montana,1315662,626584,619576,69502
933,Fleming County,Kentucky,183390,87282,89900,6208
934,Florence County,South Carolina,1645264,417036,444378,783850
935,Florence County,Wisconsin,55574,27700,25674,2200
936,Floyd County,Georgia,1194088,465430,488102,240556
937,Floyd County,Indiana,970122,425112,446138,98872
938,Floyd County,Iowa,184536,86344,86626,11566
939,Floyd County,Kentucky,424128,202172,213140,8816
940,Floyd County,Texas,62958,28660,28836,5462
941,Floyd County,Virginia,186878,89418,88620,8840
942,Fluvanna County,Virginia,335416,127454,142472,65490
943,Foard County,Texas,12888,5594,6056,1238
944,Fond du Lac County,Wisconsin,1249662,579720,583266,86676
945,Ford County,Illinois,161100,76170,77334,7596
946,Ford County,Kansas,409320,193342,180872,35106
947,Forest County,Pennsylvania,81104,37376,22620,21108
948,Forest County,Wisconsin,112050,46414,44684,20952
949,Forrest County,Mississippi,939072,270468,288636,379968
950,Forsyth County,Georgia,3175436,1151308,1159932,864196
951,Forsyth County,North Carolina,4664980,1487454,1587720,1589806
952,Fort Bend County,Texas,10583646,2780680,2747402,5055564
953,Foster County,North Dakota,40366,19514,19122,1730
954,Fountain County,Indiana,199132,96670,96192,6270
955,Franklin County,Alabama,383880,174366,175848,33666
956,Franklin County,Arkansas,207470,97074,97624,12772
957,Franklin County,Florida,150440,67290,61560,21590
958,Franklin County,Georgia,289196,121810,126450,40936
959,Franklin County,Idaho,178952,89094,83696,6162
960,Franklin County,Illinois,448872,215612,218996,14264
961,Franklin County,Indiana,275776,134868,134338,6570
962,Franklin County,Iowa,119586,58678,55258,5650
963,Franklin County,Kansas,313050,147404,146766,18880
964,Franklin County,Kentucky,621510,254850,271032,95628
965,Franklin County,Maine,363032,172218,177662,13152
966,Franklin County,Massachusetts,851508,389614,404284,57610
967,Franklin County,Mississippi,91568,29096,28980,33492
968,Franklin County,Missouri,1268874,610936,610186,47752
969,Franklin County,Nebraska,34244,16700,16394,1150
970,Franklin County,New York,562076,249140,235774,77162
971,Franklin County,North Carolina,881102,311824,305106,264172
972,Franklin County,Ohio,15978114,5157022,5258686,5562406
973,Franklin County,Pennsylvania,1885688,850968,878184,156536
974,Franklin County,Tennessee,525362,235048,243730,46584
975,Franklin County,Texas,127030,57260,57610,12160
976,Franklin County,Vermont,606282,286990,287262,32030
977,Franklin County,Virginia,660214,291322,296776,72116
978,Franklin County,Washington,1182518,543290,514088,125140
979,Franklin Parish,Louisiana,233626,75794,79200,78632
980,Franklin city,Virginia,98858,18890,20714,59254
981,Frederick County,Maryland,3413920,1314962,1345832,753126
982,Frederick County,Virginia,1132986,504126,508454,120406
983,Fredericksburg city,Virginia,344686,107378,119588,117720
984,Freeborn County,Minnesota,368000,169840,168726,29434
985,Freestone County,Texas,239370,98660,92556,48154
986,Fremont County,Colorado,594214,303728,237604,52882
987,Fremont County,Idaho,166204,83780,75146,7278
988,Fremont County,Iowa,78338,37944,37578,2816
989,Fremont County,Wyoming,473770,178072,172210,123488
990,Fresno County,California,12184544,4596790,4573544,3014210
991,Frio County,Texas,222600,113530,85396,23674
992,Frontier County,Nebraska,30650,15284,14436,930
993,Fulton County,Arkansas,147162,69382,70870,6910
994,Fulton County,Georgia,12898698,2935396,2814008,7149294
995,Fulton County,Illinois,397534,188150,185426,23958
996,Fulton County,Indiana,244072,117974,116014,10084
997,Fulton County,Kentucky,77118,28164,26712,22242
998,Fulton County,New York,631540,296114,301508,33918
999,Fulton County,Ohio,507814,244362,244950,18502
1000,Fulton County,Pennsylvania,174446,86016,82418,6012
1001,Furnas County,Nebraska,54958,26766,26334,1858
1002,Gadsden County,Florida,524738,111558,109970,303210
1003,Gage County,Nebraska,259698,125174,123912,10612
1004,Gaines County,Texas,265528,127422,123728,14378
1005,Galax city,Virginia,80726,33262,37958,9506
1006,Gallatin County,Illinois,58094,27550,28430,2114
1007,Gallatin County,Kentucky,105080,50234,49246,5600
1008,Gallatin County,Montana,1478668,730294,664554,83820
1009,Gallia County,Ohio,349122,162942,166362,19818
1010,Galveston County,Texas,4291272,1698154,1721554,871564
1011,Garden County,Nebraska,22098,11004,10164,930
1012,Garfield County,Colorado,748168,359424,339922,48822
1013,Garfield County,Montana,14330,7052,6946,332
1014,Garfield County,Nebraska,21392,10598,10540,254
1015,Garfield County,Oklahoma,747150,311930,310020,125200
1016,Garfield County,Utah,62350,30244,27696,4410
1017,Garfield County,Washington,28102,13140,12654,2308
1018,Garland County,Arkansas,1200696,503956,538526,158214
1019,Garrard County,Kentucky,209572,99088,100150,10334
1020,Garrett County,Maryland,343764,166064,167500,10200
1021,Garvin County,Oklahoma,309918,123206,127366,59346
1022,Garza County,Texas,63314,35968,19780,7566
1023,Gasconade County,Missouri,177048,86504,84912,5632
1024,Gaston County,North Carolina,2804698,1038608,1086664,679426
1025,Gates County,North Carolina,124712,40542,40858,43312
1026,Geary County,Kansas,431622,157820,142102,131700
1027,Geauga County,Ohio,1145662,555128,551936,38598
1028,Gem County,Idaho,244396,118032,113386,12978
1029,Genesee County,Michigan,4845494,1777992,1849372,1218130
1030,Genesee County,New York,694660,321340,322824,50496
1031,Geneva County,Alabama,322190,136990,142020,43180
1032,Gentry County,Missouri,74782,35088,36966,2728
1033,George County,Mississippi,300398,136144,132768,31486
1034,Georgetown County,South Carolina,774924,256770,276398,241756
1035,Gibson County,Indiana,396032,187694,183850,24488
1036,Gibson County,Tennessee,609520,234712,247052,127756
1037,Gila County,Arizona,644492,251544,250814,142134
1038,Gilchrist County,Florida,226118,107670,101950,16498
1039,Giles County,Tennessee,366888,153836,163182,49870
1040,Giles County,Virginia,199148,94806,96292,8050
1041,Gillespie County,Texas,328724,153740,161782,13202
1042,Gilliam County,Oregon,24076,11168,11214,1694
1043,Gilmer County,Georgia,386948,184838,182992,19118
1044,Gilmer County,West Virginia,87718,40026,32480,15212
1045,Gilpin County,Colorado,70612,34496,30254,5862
1046,Glacier County,Montana,163918,25316,25134,113468
1047,Glades County,Florida,149882,63598,52070,34214
1048,Gladwin County,Michigan,307688,151552,146994,9142
1049,Glascock County,Georgia,35080,15534,15436,4110
1050,Glasscock County,Texas,13638,7040,5940,658
1051,Glenn County,California,342774,155274,149372,38128
1052,Gloucester County,New Jersey,3674080,1477618,1525208,671254
1053,Gloucester County,Virginia,472692,205568,208870,58254
1054,Glynn County,Georgia,1023478,335300,372966,315212
1055,Gogebic County,Michigan,171946,82184,78136,11626
1056,Golden Valley County,Montana,10058,4552,4786,720
1057,Golden Valley County,North Dakota,21006,10248,9850,908
1058,Goliad County,Texas,85446,38818,38936,7692
1059,Gonzales County,Texas,237828,105710,104300,27818
1060,Goochland County,Virginia,313596,125524,129846,58226
1061,Goodhue County,Minnesota,574594,270976,270166,33452
1062,Gooding County,Idaho,190526,91312,87174,12040
1063,Gordon County,Georgia,706094,315676,324880,65538
1064,Goshen County,Wyoming,151054,74892,67786,8376
1065,Gosper County,Nebraska,22186,11218,10152,816
1066,Gove County,Kansas,32644,15822,15880,942
1067,Grady County,Georgia,313560,101984,105784,105792
1068,Grady County,Oklahoma,675672,288268,286144,101260
1069,Grafton County,New Hampshire,1103442,506868,510272,86302
1070,Graham County,Arizona,469394,206104,177254,86036
1071,Graham County,Kansas,28720,13044,12908,2768
1072,Graham County,North Carolina,96776,42528,41638,12610
1073,Grainger County,Tennessee,289718,141586,138268,9864
1074,Grand County,Colorado,190376,96792,83614,9970
1075,Grand County,Utah,116884,51768,51842,13274
1076,Grand Forks County,North Dakota,875564,388064,370898,116602
1077,Grand Isle County,Vermont,89074,42754,40798,5522
1078,Grand Traverse County,Michigan,1152160,540012,553146,59002
1079,Granite County,Montana,41226,20440,18890,1896
1080,Grant County,Arkansas,218334,102104,102994,13236
1081,Grant County,Indiana,796310,335520,363254,97536
